seed,episode,soups,sampled_roles,teacher_roles,evolving_roles,static_roles
0,168,4.0,1-2-1,0-1-2,0-1-2,0-0-1
0,169,4.0,2-2-1,0-2-1,0-1-2,0-0-1
0,170,6.0,0-2-1,0-1-2,0-1-2,0-0-1
0,171,0.0,1-0-0,0-1-2,0-1-2,0-0-1
0,172,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,173,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,174,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,175,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,176,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,177,0.0,1-0-1,0-1-2,0-1-2,0-0-1
0,178,4.0,1-2-1,0-1-2,0-1-2,0-0-1
0,179,0.0,1-1-1,0-1-2,0-1-2,0-0-1
0,180,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,181,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,182,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,183,4.0,1-2-2,0-1-2,0-1-2,0-0-1
0,184,0.0,2-1-1,0-2-1,0-1-2,0-0-1
0,185,4.0,2-2-0,0-1-2,0-1-2,0-0-1
0,186,4.0,2-1-1,0-1-2,0-1-2,0-0-1
0,187,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,188,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,189,4.0,1-1-2,0-1-2,0-1-2,0-0-1
0,190,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,191,4.0,2-0-2,0-1-2,0-1-2,0-0-1
0,192,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,193,0.0,1-0-1,0-1-2,0-1-2,0-0-1
0,194,0.0,0-0-1,0-1-2,0-1-2,0-0-1
0,195,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,196,0.0,0-0-1,0-1-2,0-1-2,0-0-1
0,197,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,198,4.0,2-0-0,0-1-2,0-1-2,0-0-1
0,199,0.0,1-0-1,0-1-2,0-1-2,0-0-1
0,200,0.0,0-1-0,0-1-2,0-1-2,0-0-1
0,201,3.0,2-2-1,0-1-2,0-1-2,0-0-1
0,202,2.0,0-0-2,0-1-2,0-1-2,0-0-1
0,203,0.0,0-0-1,0-1-2,0-1-2,0-0-1
0,204,0.0,2-2-2,0-2-1,0-1-2,0-0-1
0,205,2.0,0-2-0,0-1-2,0-1-2,0-0-1
0,206,4.0,2-2-0,0-1-2,0-1-2,0-0-1
0,207,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,208,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,209,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,210,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,211,4.0,2-2-1,0-1-2,0-1-2,0-0-1
0,212,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,213,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,214,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,215,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,216,4.0,2-1-1,0-1-2,0-1-2,0-0-1
0,217,0.0,0-0-0,0-2-1,0-1-2,0-0-1
0,218,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,219,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,220,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,221,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,222,0.0,0-0-1,0-1-2,0-1-2,0-0-1
0,223,4.0,2-1-2,0-1-2,0-1-2,0-0-1
0,224,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,225,1.0,0-0-2,0-1-2,0-1-2,0-0-1
0,226,2.0,0-0-2,0-2-1,0-1-2,0-0-1
0,227,0.0,1-0-0,0-1-2,0-1-2,0-0-1
0,228,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,229,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,230,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,231,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,232,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,233,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,234,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,235,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,236,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,237,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,238,0.0,0-1-2,0-2-1,0-1-2,0-0-1
0,239,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,240,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,241,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,242,6.0,1-2-0,0-2-1,0-1-2,0-0-1
0,243,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,244,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,245,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,246,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,247,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,248,6.0,1-2-0,0-1-2,0-1-2,0-0-1
0,249,6.0,0-2-1,0-1-2,0-1-2,0-0-1
0,250,2.0,0-0-2,0-1-2,0-1-2,0-0-1
0,251,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,252,6.0,1-2-0,0-1-2,0-1-2,0-0-1
0,253,0.0,1-0-1,0-1-2,0-1-2,0-0-1
0,254,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,255,6.0,0-1-2,0-1-2,0-1-2,0-0-1
0,256,6.0,0-1-2,0-1-2,0-1-2,0-0-1
