seed,episode,soups,sampled_roles,teacher_roles,observed_roles
1,44,0.0,0-1-0,1-2-0,2-2-1
1,45,0.0,2-0-0,0-2-1,1-2-1
1,46,2.0,2-1-1,2-1-0,1-2-1
1,47,0.0,1-0-0,0-2-1,1-2-1
1,48,2.0,1-1-2,2-1-0,1-2-1
1,49,2.0,0-0-2,2-1-0,1-2-1
1,50,0.0,2-2-2,2-1-0,1-2-0
1,51,0.0,0-1-0,1-0-2,2-2-0
1,52,3.0,2-0-1,2-0-1,2-2-0
1,53,2.0,2-0-2,1-1-2,2-2-0
1,54,3.0,2-0-1,0-2-1,2-2-0
1,55,0.0,2-2-0,2-1-0,2-2-0
1,56,0.0,0-0-1,1-0-2,2-2-0
1,57,2.0,0-2-2,1-0-2,2-2-0
1,58,2.0,2-1-2,2-0-1,2-2-0
1,59,0.0,0-0-0,1-1-2,2-2-0
1,60,3.0,0-2-1,0-2-1,2-2-0
1,61,0.0,0-2-2,1-1-2,2-1-0
1,62,0.0,0-0-1,0-2-1,1-2-0
1,63,3.0,1-0-2,1-0-2,1-2-0
1,64,2.0,1-2-2,2-1-0,1-1-0
1,65,0.0,1-1-1,0-2-1,1-2-1
1,66,0.0,2-1-1,1-0-2,1-2-0
1,67,0.0,1-1-0,1-0-2,1-1-0
1,68,0.0,2-0-2,0-2-1,1-1-1
1,69,2.0,2-1-1,0-2-1,1-2-1
1,70,2.0,2-1-2,1-1-2,1-1-0
1,71,0.0,1-1-0,1-0-2,1-2-1
1,72,0.0,1-0-2,2-1-0,1-1-1
1,73,2.0,0-1-2,1-0-2,1-1-0
1,74,2.0,1-2-1,1-0-2,1-2-1
1,75,0.0,2-1-0,0-2-1,1-2-1
1,76,2.0,2-0-0,1-0-2,1-2-2
1,77,0.0,2-2-2,0-2-1,1-1-1
1,78,2.0,2-0-2,2-1-0,1-1-2
1,79,0.0,0-1-1,1-0-2,1-2-2
1,80,0.0,0-1-2,1-0-2,1-2-2
1,81,2.0,0-2-2,2-1-0,1-1-2
1,82,3.0,2-1-0,1-0-2,1-1-2
1,83,2.0,1-2-2,1-1-2,1-1-2
1,84,0.0,1-1-0,2-1-0,1-1-2
1,85,0.0,0-0-0,0-2-1,1-0-2
1,86,2.0,0-2-0,2-1-0,1-1-2
1,87,0.0,1-0-1,0-2-1,1-1-2
1,88,0.0,1-0-0,1-1-2,1-1-2
1,89,2.0,2-0-0,0-2-1,1-0-2
1,90,0.0,2-2-2,0-2-1,1-0-2
1,91,2.0,2-1-1,0-2-1,1-1-2
1,92,2.0,1-0-2,1-0-2,1-1-2
1,93,3.0,0-1-2,0-1-2,1-1-1
1,94,3.0,1-0-2,0-2-1,1-2-1
1,95,0.0,2-2-2,1-0-2,1-2-2
1,96,2.0,1-2-2,1-0-2,1-2-2
1,97,2.0,2-1-0,1-0-2,1-2-2
1,98,0.0,0-0-0,0-1-2,0-1-1
1,99,0.0,1-2-1,1-0-2,1-1-2
1,100,0.0,0-1-0,0-2-1,1-2-2
1,101,2.0,2-1-2,2-1-0,0-1-2
1,102,2.0,0-2-0,0-1-2,0-1-2
1,103,2.0,0-2-0,1-0-2,1-1-2
1,104,1.0,0-0-2,0-2-1,1-2-2
1,105,2.0,0-2-2,1-0-2,1-2-2
1,106,2.0,1-2-2,0-2-1,1-2-2
1,107,0.0,0-0-0,2-1-0,0-1-2
1,108,0.0,0-1-0,0-1-2,0-1-2
1,109,0.0,1-1-2,0-2-1,0-2-2
1,110,2.0,2-2-1,2-1-0,0-1-2
1,111,2.0,2-0-0,1-0-2,0-1-2
1,112,2.0,1-1-2,1-0-2,1-1-2
1,113,2.0,1-2-2,1-0-2,1-1-2
1,114,0.0,0-1-1,1-0-2,1-1-2
1,115,2.0,0-1-2,0-2-1,0-0-2
1,116,0.0,0-0-0,1-0-2,1-0-2
1,117,2.0,2-2-0,0-1-2,0-0-2
1,118,2.0,1-2-0,0-2-1,0-0-2
1,119,0.0,0-1-0,2-1-0,0-1-2
1,120,2.0,2-2-1,1-0-2,1-0-2
1,121,0.0,1-0-1,0-2-1,1-0-2
1,122,3.0,0-1-2,0-1-2,0-1-2
1,123,0.0,1-0-1,1-0-2,1-0-2
1,124,2.0,2-1-1,1-0-2,1-1-2
1,125,2.0,2-2-0,0-2-1,1-0-2
1,126,2.0,2-1-2,0-1-2,0-0-2
1,127,0.0,0-2-0,1-0-2,1-0-2
1,128,0.0,1-1-1,0-1-2,0-1-2
1,129,3.0,1-0-2,1-0-2,1-0-2
1,130,0.0,1-1-0,0-1-2,0-0-2
1,131,3.0,2-0-1,1-0-2,1-0-2
1,132,0.0,1-0-1,1-0-2,1-0-2
1,133,2.0,2-0-2,0-2-1,1-0-2
1,134,0.0,2-0-1,1-0-2,1-1-2
1,135,2.0,1-2-1,0-1-2,0-0-2
1,136,2.0,2-2-1,1-0-2,1-1-2
1,137,3.0,1-0-2,1-0-2,1-0-2
1,138,0.0,1-0-0,1-0-2,1-0-2
1,139,3.0,1-2-0,1-2-0,1-1-2
1,140,3.0,1-0-2,0-2-1,1-0-2
1,141,1.0,0-0-2,0-2-1,1-0-2
1,142,0.0,0-1-0,1-2-0,1-1-2
1,143,2.0,1-0-2,0-1-2,0-0-2
1,144,0.0,0-2-1,1-0-2,1-0-2
1,145,3.0,1-0-2,0-2-1,1-0-2
1,146,0.0,0-1-1,0-1-2,0-0-2
1,147,1.0,0-0-2,0-1-2,0-0-2
1,148,0.0,1-1-0,1-2-0,1-0-2
1,149,3.0,1-2-0,1-0-2,1-0-2
1,150,2.0,1-2-1,1-0-2,1-0-2
1,151,3.0,1-0-2,1-0-2,1-0-2
1,152,3.0,0-2-1,0-1-2,0-0-2
1,153,0.0,0-0-2,1-2-0,1-0-2
1,154,2.0,1-2-2,0-2-1,1-2-2
1,155,2.0,1-2-2,1-0-2,1-2-2
1,156,0.0,1-0-1,0-1-2,0-0-2
1,157,2.0,1-2-2,1-0-2,1-2-2
1,158,0.0,1-0-0,0-1-2,0-0-2
1,159,2.0,2-1-2,1-0-2,1-0-2
