seed,episode,condition,soups,teacher_role_correct,chosen_roles,teacher_roles,proposals
0,71,no_etm,1.0,1,2-1-2,0-0-2,0-0-2
0,71,frozen_etm,0.0,2,0-1-2,0-0-2,0-0-2
0,71,dynamic_etm,1.0,1,2-1-2,0-0-2,0-0-2
0,72,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,72,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,72,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,73,no_etm,0.0,2,0-1-2,0-0-2,0-0-2
0,73,frozen_etm,0.0,2,0-1-2,0-0-2,0-0-2
0,73,dynamic_etm,0.0,2,0-1-2,0-0-2,0-0-2
0,74,no_etm,1.0,1,0-1-2,1-0-2,0-0-2
0,74,frozen_etm,1.0,1,0-1-2,1-0-2,0-0-2
0,74,dynamic_etm,1.0,1,0-1-2,1-0-2,0-0-2
0,75,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,75,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,75,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,76,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,76,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,76,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,77,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,77,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,77,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,78,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,78,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,78,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,79,no_etm,2.0,1,0-1-2,1-0-2,0-0-2
0,79,frozen_etm,2.0,1,0-1-2,1-0-2,0-0-2
0,79,dynamic_etm,2.0,1,0-1-2,1-0-2,0-0-2
0,80,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,80,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,80,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,81,no_etm,2.0,3,0-1-2,0-1-2,0-0-2
0,81,frozen_etm,2.0,3,0-1-2,0-1-2,0-0-2
0,81,dynamic_etm,2.0,3,0-1-2,0-1-2,0-0-2
0,82,no_etm,2.0,1,0-1-2,1-0-2,0-0-2
0,82,frozen_etm,2.0,1,0-1-2,1-0-2,0-0-2
0,82,dynamic_etm,2.0,1,0-1-2,1-0-2,0-0-2
0,83,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,83,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,83,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,84,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,84,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,84,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,85,no_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,85,frozen_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,85,dynamic_etm,2.0,3,0-1-2,0-1-2,0-1-2
0,86,no_etm,2.0,1,0-1-2,1-0-2,0-1-2
