seed,episode,soups,sampled_roles,teacher_roles,observed_roles
2,224,6.0,0-1-2,0-1-2,0-1-2
2,225,0.0,0-1-2,0-2-1,0-1-2
2,226,6.0,0-1-2,0-1-2,0-1-2
2,227,6.0,0-1-2,0-1-2,0-1-2
2,228,0.0,1-0-1,0-1-2,0-1-2
2,229,0.0,2-2-2,0-1-2,0-1-2
2,230,3.0,0-2-0,0-1-2,0-1-2
2,231,1.0,0-2-0,0-1-2,0-1-2
2,232,6.0,0-1-2,0-1-2,0-1-2
2,233,4.0,2-0-0,0-1-2,0-1-2
2,234,0.0,1-1-1,0-1-2,0-1-2
2,235,6.0,0-1-2,0-1-2,0-1-2
2,236,6.0,0-1-2,0-1-2,0-1-2
2,237,0.0,0-1-2,0-2-1,0-1-2
2,238,6.0,0-1-2,0-1-2,0-1-2
2,239,4.0,1-2-1,0-1-2,0-1-2
2,240,0.0,1-1-0,0-1-2,0-1-2
2,241,4.0,2-1-1,0-1-2,0-1-2
2,242,0.0,0-1-2,0-2-1,0-1-2
2,243,6.0,0-1-2,0-1-2,0-1-2
2,244,6.0,0-1-2,0-1-2,0-1-2
2,245,0.0,2-1-0,0-1-2,0-1-2
2,246,6.0,0-1-2,0-1-2,0-1-2
2,247,6.0,0-1-2,0-1-2,0-1-2
2,248,6.0,0-1-2,0-1-2,0-1-2
2,249,6.0,0-1-2,0-1-2,0-1-2
2,250,4.0,1-2-2,0-1-2,0-1-2
2,251,6.0,0-1-2,0-1-2,0-1-2
2,252,6.0,0-1-2,0-1-2,0-1-2
2,253,0.0,0-1-0,0-1-2,0-1-2
2,254,0.0,0-1-2,0-2-1,0-1-2
2,255,0.0,0-1-2,0-2-1,0-1-2
2,256,0.0,0-1-2,0-2-1,0-1-2
2,257,6.0,0-1-2,0-1-2,0-1-2
2,258,4.0,2-1-2,0-1-2,0-1-2
2,259,6.0,0-1-2,0-1-2,0-1-2
2,260,6.0,0-1-2,0-1-2,0-1-2
2,261,0.0,1-0-0,0-1-2,0-1-2
2,262,0.0,0-0-0,0-1-2,0-1-2
2,263,0.0,0-1-2,0-2-1,0-1-2
2,264,0.0,0-1-2,0-2-1,0-1-2
2,265,6.0,0-1-2,0-1-2,0-1-2
2,266,6.0,0-1-2,0-1-2,0-1-2
2,267,6.0,0-1-2,0-1-2,0-1-2
2,268,6.0,0-1-2,0-1-2,0-1-2
2,269,6.0,0-1-2,0-1-2,0-1-2
2,270,0.0,0-1-2,0-2-1,0-1-2
2,271,6.0,0-1-2,0-1-2,0-1-2
2,272,4.0,2-2-1,0-2-1,0-2-2
2,273,0.0,0-0-1,0-1-2,0-1-2
2,274,0.0,1-1-0,0-1-2,0-1-2
2,275,0.0,2-0-0,0-1-2,0-1-2
2,276,0.0,2-2-2,0-2-1,0-2-2
2,277,0.0,0-0-1,0-1-2,0-1-2
2,278,6.0,0-1-2,0-1-2,0-1-2
