scenario,candidate,responder,observer,own_role,own_x,own_y,belief_0,belief_1,soups
7,1,1,0,0,10,3,"[0.10990417360185893, 0.7086583478938706, 0.18143747850427047]","[0.2940365520951008, 0.16991962664222682, 0.5360438212626724]",0.0
7,1,1,1,1,2,3,"[0.4581328121278126, 0.3201987507341418, 0.22166843713804565]","[0.24858811959798727, 0.2361412984700652, 0.5152705819319475]",0.0
7,1,1,2,2,6,3,"[0.48901421061373795, 0.30021220824865463, 0.2107735811376074]","[0.07565462380712615, 0.7661212185800543, 0.15822415761281952]",0.0
7,2,1,0,0,10,3,"[0.10990417360185893, 0.18143747850427047, 0.7086583478938706]","[0.2940365520951008, 0.16991962664222682, 0.5360438212626724]",1.0
7,2,1,1,2,2,3,"[0.4581328121278126, 0.3201987507341418, 0.22166843713804565]","[0.24858811959798727, 0.2361412984700652, 0.5152705819319475]",1.0
7,2,1,2,2,6,3,"[0.48901421061373795, 0.30021220824865463, 0.2107735811376074]","[0.07565462380712615, 0.15822415761281952, 0.7661212185800543]",1.0
8,0,2,0,2,10,3,"[0.2219050480294576, 0.2818830414631536, 0.4962119105073887]","[0.6759148132173136, 0.13139949858374017, 0.19268568819894621]",1.0
8,0,2,1,2,6,3,"[0.27847557490962327, 0.08823281442093564, 0.6332916106694411]","[0.6859749169589449, 0.07151519721742455, 0.2425098858236306]",1.0
8,0,2,2,0,2,3,"[0.15149816866070925, 0.11466564769524572, 0.733836183644045]","[0.18601083668811852, 0.18071220192551524, 0.6332769613863662]",1.0
8,1,2,0,2,10,3,"[0.2219050480294576, 0.2818830414631536, 0.4962119105073887]","[0.13139949858374017, 0.6759148132173136, 0.19268568819894621]",1.0
8,1,2,1,2,6,3,"[0.27847557490962327, 0.08823281442093564, 0.6332916106694411]","[0.07151519721742455, 0.6859749169589449, 0.2425098858236306]",1.0
8,1,2,2,1,2,3,"[0.15149816866070925, 0.11466564769524572, 0.733836183644045]","[0.18601083668811852, 0.18071220192551524, 0.6332769613863662]",1.0
8,2,2,0,2,10,3,"[0.2219050480294576, 0.2818830414631536, 0.4962119105073887]","[0.13139949858374017, 0.19268568819894621, 0.6759148132173136]",0.0
8,2,2,1,2,6,3,"[0.27847557490962327, 0.08823281442093564, 0.6332916106694411]","[0.07151519721742455, 0.2425098858236306, 0.6859749169589449]",0.0
8,2,2,2,2,2,3,"[0.15149816866070925, 0.11466564769524572, 0.733836183644045]","[0.18601083668811852, 0.18071220192551524, 0.6332769613863662]",0.0
9,0,0,0,0,6,3,"[0.14759082840135138, 0.3314895154200442, 0.5209196561786045]","[0.770802134454255, 0.07173255910132936, 0.15746530644441556]",1.0
9,0,0,1,2,10,3,"[0.5946588756926331, 0.2397303470914206, 0.1656107772159463]","[0.550198629514195, 0.097198910474669, 0.35260246001113604]",1.0
9,0,0,2,0,2,3,"[0.8129977583316925, 0.08684732894068732, 0.10015491272762014]","[0.3976147603188893, 0.13848667907188414, 0.4638985606092265]",1.0
9,1,0,0,1,6,3,"[0.14759082840135138, 0.3314895154200442, 0.5209196561786045]","[0.770802134454255, 0.07173255910132936, 0.15746530644441556]",2.0
9,1,0,1,2,10,3,"[0.2397303470914206, 0.5946588756926331, 0.1656107772159463]","[0.550198629514195, 0.097198910474669, 0.35260246001113604]",2.0
9,1,0,2,0,2,3,"[0.08684732894068732, 0.8129977583316925, 0.10015491272762014]","[0.3976147603188893, 0.13848667907188414, 0.4638985606092265]",2.0
9,2,0,0,2,6,3,"[0.14759082840135138, 0.3314895154200442, 0.5209196561786045]","[0.770802134454255, 0.07173255910132936, 0.15746530644441556]",1.0
9,2,0,1,2,10,3,"[0.2397303470914206, 0.1656107772159463, 0.5946588756926331]","[0.550198629514195, 0.097198910474669, 0.35260246001113604]",1.0
9,2,0,2,0,2,3,"[0.08684732894068732, 0.10015491272762014, 0.8129977583316925]","[0.3976147603188893, 0.13848667907188414, 0.4638985606092265]",1.0
10,0,1,0,2,2,3,"[0.7197798685400062, 0.1866291671669536, 0.09359096429304019]","[0.17542260562367268, 0.3388247884585293, 0.485752605917798]",0.0
10,0,1,1,0,6,3,"[0.3518568970782301, 0.1607841258339544, 0.4873589770878155]","[0.20876655117174867, 0.1964014636746584, 0.5948319851535929]",0.0
10,0,1,2,2,10,3,"[0.2037560244882185, 0.09756525253789594, 0.6986787229738856]","[0.6487682208592555, 0.08337180231192709, 0.26785997682881746]",0.0
10,1,1,0,2,2,3,"[0.1866291671669536, 0.7197798685400062, 0.09359096429304019]","[0.17542260562367268, 0.3388247884585293, 0.485752605917798]",1.0
10,1,1,1,1,6,3,"[0.3518568970782301, 0.1607841258339544, 0.4873589770878155]","[0.20876655117174867, 0.1964014636746584, 0.5948319851535929]",1.0
10,1,1,2,2,10,3,"[0.2037560244882185, 0.09756525253789594, 0.6986787229738856]","[0.08337180231192709, 0.6487682208592555, 0.26785997682881746]",1.0
10,2,1,0,2,2,3,"[0.1866291671669536, 0.09359096429304019, 0.7197798685400062]","[0.17542260562367268, 0.3388247884585293, 0.485752605917798]",0.0
10,2,1,1,2,6,3,"[0.3518568970782301, 0.1607841258339544, 0.4873589770878155]","[0.20876655117174867, 0.1964014636746584, 0.5948319851535929]",0.0
10,2,1,2,2,10,3,"[0.2037560244882185, 0.09756525253789594, 0.6986787229738856]","[0.08337180231192709, 0.26785997682881746, 0.6487682208592555]",0.0
11,0,2,0,1,6,3,"[0.6494850147323872, 0.11933379851786721, 0.2311811867497456]","[0.6212717175976327, 0.2593583985861197, 0.11936988381624762]",0.0
11,0,2,1,0,2,3,"[0.13343894843887616, 0.5036054345359834, 0.36295561702514045]","[0.5714232143978455, 0.27139251456467334, 0.15718427103748114]",0.0
11,0,2,2,0,10,3,"[0.3604871776144415, 0.4845175114957423, 0.15499531088981622]","[0.6439716327978545, 0.18426870826208464, 0.17175965894006084]",0.0
11,1,2,0,1,6,3,"[0.6494850147323872, 0.11933379851786721, 0.2311811867497456]","[0.2593583985861197, 0.6212717175976327, 0.11936988381624762]",0.0
11,1,2,1,0,2,3,"[0.13343894843887616, 0.5036054345359834, 0.36295561702514045]","[0.27139251456467334, 0.5714232143978455, 0.15718427103748114]",0.0
11,1,2,2,1,10,3,"[0.3604871776144415, 0.4845175114957423, 0.15499531088981622]","[0.6439716327978545, 0.18426870826208464, 0.17175965894006084]",0.0
11,2,2,0,1,6,3,"[0.6494850147323872, 0.11933379851786721, 0.2311811867497456]","[0.2593583985861197, 0.11936988381624762, 0.6212717175976327]",2.0
11,2,2,1,0,2,3,"[0.13343894843887616, 0.5036054345359834, 0.36295561702514045]","[0.27139251456467334, 0.15718427103748114, 0.5714232143978455]",2.0
11,2,2,2,2,10,3,"[0.3604871776144415, 0.4845175114957423, 0.15499531088981622]","[0.6439716327978545, 0.18426870826208464, 0.17175965894006084]",2.0
12,0,0,0,0,2,3,"[0.8159853819636662, 0.09641236326145415, 0.08760225477487964]","[0.22245280242963678, 0.05735046903941171, 0.7201967285309515]",1.0
12,0,0,1,0,6,3,"[0.5413048261257554, 0.23597978344201262, 0.222715390432232]","[0.08221237032963356, 0.31927731075349963, 0.5985103189168668]",1.0
12,0,0,2,2,10,3,"[0.5026211301156186, 0.3016951300590286, 0.1956837398253528]","[0.6101330345467831, 0.3074403936091364, 0.08242657184408049]",1.0
12,1,0,0,1,2,3,"[0.8159853819636662, 0.09641236326145415, 0.08760225477487964]","[0.22245280242963678, 0.05735046903941171, 0.7201967285309515]",1.0
12,1,0,1,0,6,3,"[0.23597978344201262, 0.5413048261257554, 0.222715390432232]","[0.08221237032963356, 0.31927731075349963, 0.5985103189168668]",1.0
12,1,0,2,2,10,3,"[0.3016951300590286, 0.5026211301156186, 0.1956837398253528]","[0.6101330345467831, 0.3074403936091364, 0.08242657184408049]",1.0
12,2,0,0,2,2,3,"[0.8159853819636662, 0.09641236326145415, 0.08760225477487964]","[0.22245280242963678, 0.05735046903941171, 0.7201967285309515]",0.0
12,2,0,1,0,6,3,"[0.23597978344201262, 0.222715390432232, 0.5413048261257554]","[0.08221237032963356, 0.31927731075349963, 0.5985103189168668]",0.0
