seed,checkpoint,eval_case,learned_soups,static_soups,teacher_soups,learned_roles,static_roles,teacher_roles,agent_0_agrees,agent_1_agrees,agent_2_agrees,agent_0_hybrid_soups,agent_1_hybrid_soups,agent_2_hybrid_soups
4,240,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,1,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,240,3,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,240,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,5,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,8,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,9,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,240,10,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,240,11,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,1,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,280,3,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,280,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,5,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,8,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,9,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,280,10,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,280,11,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,1,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,2,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,320,3,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,320,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,5,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,8,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,9,0.0,0.0,6.0,0-1-2,0-0-1,0-2-1,1,0,0,6.0,0.0,3.0
4,320,10,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,320,11,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,0,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,1,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,2,3.0,0.0,6.0,0-2-2,0-0-1,0-2-1,1,1,0,6.0,6.0,3.0
4,360,3,3.0,0.0,6.0,0-2-2,0-0-1,0-2-1,1,1,0,6.0,6.0,3.0
4,360,4,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,5,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,6,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,7,6.0,0.0,6.0,0-1-2,0-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,8,0.0,0.0,6.0,0-2-2,1-0-1,0-1-2,1,0,1,6.0,0.0,6.0
4,360,9,3.0,0.0,6.0,0-2-2,0-0-1,0-2-1,1,1,0,6.0,6.0,3.0
4,360,10,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
4,360,11,6.0,0.0,6.0,0-1-2,1-0-1,0-1-2,1,1,1,6.0,6.0,6.0
